??,??(V),??(A),??(W),??(Hz),????,??,??
243,220.68,0.236,39.10,50.04,0.751,8:51:01 PM:425,1
244,220.85,0.180,27.70,50.01,0.697,8:51:01 PM:815,1
245,220.80,0.217,36.24,50.01,0.756,8:51:02 PM:190,1
246,220.82,0.185,29.31,50.01,0.717,8:51:02 PM:565,1
247,220.85,0.238,39.25,50.03,0.747,8:51:02 PM:956,1
248,220.81,0.160,24.08,50.02,0.682,8:51:03 PM:331,1
249,220.78,0.253,46.67,50.02,0.836,8:51:03 PM:705,1
250,220.85,0.290,55.68,50.04,0.869,8:51:04 PM:096,1
251,220.72,0.315,60.94,50.02,0.876,8:51:04 PM:471,1
252,220.84,0.327,62.86,50.03,0.871,8:51:04 PM:861,1
253,220.80,0.319,61.41,50.02,0.872,8:51:05 PM:252,1
254,220.79,0.349,68.77,50.01,0.892,8:51:05 PM:643,1
255,220.95,0.314,59.82,50.03,0.862,8:51:06 PM:017,1
256,220.86,0.205,33.60,50.02,0.742,8:51:06 PM:392,1
257,220.72,0.316,47.85,50.02,0.686,8:51:06 PM:767,1
258,220.84,0.312,59.89,50.03,0.869,8:51:07 PM:158,1
259,220.67,0.306,56.21,50.03,0.832,8:51:07 PM:548,1
260,220.73,0.392,79.29,50.02,0.916,8:51:07 PM:939,1
261,220.82,0.294,56.43,50.00,0.869,8:51:08 PM:314,1
262,220.77,0.335,63.87,50.00,0.864,8:51:08 PM:704,1
263,220.74,0.228,40.17,50.01,0.798,8:51:09 PM:095,1
264,220.69,0.208,35.96,50.03,0.783,8:51:09 PM:470,1
265,220.72,0.503,63.62,50.01,0.573,8:51:09 PM:860,1
266,220.75,0.302,53.98,50.01,0.810,8:51:10 PM:251,1
267,220.59,0.289,55.04,50.02,0.863,8:51:10 PM:642,1
268,220.64,0.216,36.65,50.01,0.769,8:51:11 PM:016,1
269,220.65,0.290,54.81,50.00,0.856,8:51:11 PM:391,1
270,220.59,0.261,37.30,50.00,0.648,8:51:11 PM:766,1
271,220.70,0.215,34.17,50.00,0.720,8:51:12 PM:141,1
272,220.68,0.227,40.43,50.03,0.807,8:51:12 PM:516,1
273,220.59,0.250,42.04,50.00,0.762,8:51:12 PM:891,1
274,220.59,0.294,54.37,50.01,0.838,8:51:13 PM:281,1
275,220.49,0.251,42.26,50.00,0.764,8:51:13 PM:672,1
276,220.52,0.188,30.00,50.00,0.724,8:51:14 PM:063,1
277,220.41,0.258,46.63,50.00,0.820,8:51:14 PM:437,1
278,220.30,0.304,58.50,50.00,0.874,8:51:14 PM:812,1
279,220.35,0.232,39.98,50.02,0.782,8:51:15 PM:187,1
280,220.45,0.151,21.73,50.01,0.653,8:51:15 PM:562,1
281,220.53,0.215,34.34,50.01,0.724,8:51:15 PM:937,1
282,220.45,0.201,33.85,50.01,0.764,8:51:16 PM:312,1
283,220.42,0.227,36.81,49.99,0.736,8:51:16 PM:687,1
284,220.43,0.209,35.40,49.98,0.768,8:51:17 PM:078,1
285,220.30,0.263,48.76,50.00,0.842,8:51:17 PM:452,1
286,220.28,0.203,34.15,49.99,0.764,8:51:17 PM:827,1
287,220.16,0.265,42.26,49.97,0.724,8:51:18 PM:202,1
288,220.16,0.184,27.83,49.99,0.687,8:51:18 PM:577,1
289,220.23,0.249,41.45,49.97,0.756,8:51:18 PM:952,1
290,220.23,0.296,49.86,49.98,0.765,8:51:19 PM:327,1
291,220.09,0.410,51.16,49.98,0.567,8:51:19 PM:702,1
292,220.29,0.212,35.89,49.99,0.769,8:51:20 PM:077,1
293,220.16,0.224,36.51,49.98,0.740,8:51:20 PM:467,1
294,220.21,0.258,44.23,49.98,0.779,8:51:20 PM:858,1
295,220.28,0.220,35.03,49.97,0.723,8:51:21 PM:233,1
296,220.21,0.327,40.08,49.98,0.557,8:51:21 PM:623,1
297,220.27,0.249,44.76,49.96,0.816,8:51:21 PM:998,1
298,220.23,0.207,35.08,49.98,0.769,8:51:22 PM:373,1
299,220.13,0.253,45.02,49.97,0.808,8:51:22 PM:748,1
300,220.12,0.242,39.38,49.97,0.739,8:51:23 PM:125,1
301,220.06,0.262,47.66,49.98,0.827,8:51:23 PM:516,1
302,220.08,0.224,39.77,49.96,0.807,8:51:23 PM:891,1
303,220.18,0.226,36.42,49.98,0.732,8:51:24 PM:266,1
304,220.08,0.241,39.49,49.97,0.745,8:51:24 PM:641,1
305,220.02,0.240,41.25,49.96,0.781,8:51:25 PM:016,1
306,220.19,0.240,39.42,49.96,0.746,8:51:25 PM:391,1
307,220.17,0.443,56.38,49.95,0.578,8:51:25 PM:766,1
308,220.19,0.225,33.54,49.96,0.677,8:51:26 PM:156,1
309,220.15,0.248,43.23,49.97,0.792,8:51:26 PM:531,1
310,220.19,0.209,34.65,49.97,0.753,8:51:26 PM:908,1
311,220.28,0.232,40.71,49.97,0.797,8:51:27 PM:283,1
312,220.28,0.291,46.48,49.97,0.725,8:51:27 PM:662,1
313,220.27,0.215,33.67,49.98,0.711,8:51:28 PM:037,1
314,220.32,0.229,39.20,49.98,0.777,8:51:28 PM:412,1
315,220.29,0.233,39.17,49.98,0.763,8:51:28 PM:787,1
316,220.29,0.223,35.40,49.97,0.721,8:51:29 PM:162,1
317,220.36,0.273,49.90,49.98,0.829,8:51:29 PM:537,1
318,220.35,0.222,37.57,49.96,0.768,8:51:29 PM:911,1
319,220.31,0.203,32.28,49.97,0.722,8:51:30 PM:286,1
320,220.38,0.313,38.20,49.96,0.554,8:51:30 PM:677,1
321,220.54,0.190,30.29,49.98,0.723,8:51:31 PM:052,1
322,220.58,0.211,36.84,49.95,0.792,8:51:31 PM:426,1
323,220.63,0.195,32.33,49.98,0.751,8:51:31 PM:817,1
324,220.55,0.259,44.58,49.97,0.780,8:51:32 PM:208,1
325,220.59,0.178,27.05,49.97,0.689,8:51:32 PM:583,1
